"","baseMean","avg_log2FC","lfcSE","p_val","p_val_adj"
"Nkg7",2608.39716316844,-1.60179485281678,0.126760345699812,8.72344349711504e-38,1.02517907978096e-33
"Eomes",7558.65641921009,-1.38577689365706,0.119842827729039,4.4873862333553e-32,2.63678815071957e-28
"Klrk1",1942.2312904366,-1.34250697017131,0.132007566813673,1.62872809197375e-25,6.38027084562518e-22
"Ly6c2",1040.49803601198,-1.67255493714518,0.171778739424298,1.09267446949963e-23,3.21027759138991e-20
"Tmem108",1079.21941014472,1.35244602509652,0.160074471326944,1.49967617899062e-18,3.52483889109956e-15
"P2rx7",4975.45458600476,0.87347289142031,0.11078574298127,9.58280987817876e-18,1.87695302813928e-14
"Tnfrsf9",1505.32201053377,-1.10524214893616,0.149694597232371,2.0011058471836e-15,3.35957084515738e-12
"Gzma",463.583110852764,-2.0006651833512,0.27540770623088,7.32322381161199e-15,1.0757815779258e-11
"Trat1",4146.6065426703,0.806975406657478,0.118734110284595,3.16782455942042e-14,4.13647491358986e-11
"Fasl",367.69582978877,-1.93329587175195,0.273629440408876,3.65250342010153e-14,4.29242201930331e-11
"Ifi202b",689.159357309969,-1.3038976929683,0.196368181147213,9.26433966226198e-13,9.89768361008207e-10
"Vegfc",149.238576546751,-2.31284285686076,0.388273879944874,1.69349565354175e-11,1.53092007080174e-08
"Gramd3",4089.73142294295,-0.700926587054829,0.11819490346239,1.66606083949448e-11,1.53092007080174e-08
"Actn1",610.519572136689,1.51264047437663,0.248183277972469,3.79055187488754e-11,3.18189754526274e-08
"Trgc1",345.259876253079,-1.54537394622636,0.255109203890512,4.72596940595192e-11,3.7026394972498e-08
"Lta",20233.2161287755,-0.58594520635448,0.098591582873926,5.50304649478988e-11,4.04198765042317e-08
"Slc24a3",522.676347586068,-1.43378939879654,0.239042429564432,6.23164938877897e-11,4.30790256570179e-08
"Crip1",10867.8187258383,0.574848944533587,0.0993916735312917,1.60224610047198e-10,1.0460886762637e-07
"Fgl2",428.321260037598,-1.34751422474095,0.242295047803676,5.74054314893481e-10,3.55067700454115e-07
"Ms4a4c",2122.88363071441,-0.741722019864872,0.141761602354427,7.29882730784689e-10,4.28879092609083e-07
"Fos",1325.72516645437,0.93646880475292,0.181116412780601,8.94479298255117e-10,5.00567653004483e-07
"Gm19585",4453.96169426602,-0.677823158076225,0.129671972729492,1.18097689254203e-09,6.30856383688815e-07
"Arsb",2716.77353405104,-0.762288386912428,0.150365861581417,1.5895252679537e-09,8.12178302130084e-07
"Setbp1",27121.5004178843,-0.511694183264653,0.0939886371111579,1.87744875562944e-09,9.19324074006549e-07
"Itgb7",6475.31638422936,0.686340347284039,0.134085195178859,1.95770394221175e-09,9.20277469154901e-07
"Il12rb2",5800.03380652024,-0.689620564750486,0.137702611357414,3.39015921361705e-09,1.53235196455491e-06
"Gcnt2",168.414222153479,-1.84521243274774,0.357753221827395,3.80585136591665e-09,1.65653204637972e-06
"Samd3",131.556153496878,-1.99198016422433,0.401492381429065,6.58248477802437e-09,2.76276289683366e-06
"Xdh",1416.41844442698,-0.971575584555294,0.203616211130095,7.45925289248643e-09,3.02279793077588e-06
"Plac8",7448.11656602962,-0.531108484878448,0.104389941620269,9.56716105821009e-09,3.7477758918695e-06
"Klf2",5681.56468236396,0.860450777388072,0.184786592330486,1.08326492538344e-08,4.10662238809876e-06
"Pim2",8667.31072570104,-0.520549412262538,0.103810551710228,1.44935283123115e-08,5.32274827269641e-06
"Iigp1",29650.2419274028,-0.473128751106391,0.0939196092024434,1.57689204155837e-08,5.6156470522406e-06
"Entpd1",3074.07677146098,-0.665076657162883,0.142504166884277,2.16947563734165e-08,7.49872873236443e-06
"Sema7a",1643.4953686807,-0.752510928529854,0.168575797399515,3.29674000017188e-08,1.10695109948628e-05
"Serpina3f",561.585791820686,-1.15144177143912,0.254264223889829,3.89964985523605e-08,1.27301903052039e-05
"S1pr1",1741.13570760134,1.04396326027301,0.237794990698861,5.08271074948585e-08,1.61437883048534e-05
"Pde5a",420.070612769957,1.2428924082925,0.277963832254394,6.17455203955382e-08,1.9095614623378e-05
"Dnah8",10197.6317201108,0.580732247013589,0.129224616501834,9.05531271754939e-08,2.72866756555488e-05
"Dock4",1723.75449356281,-0.638500850079789,0.145885884310419,9.46336140268441e-08,2.78033558010868e-05
"Ptpn5",116.008345264371,-1.84455118791234,0.434879266203613,1.11391119760717e-07,3.1168296176856e-05
"Lyst",22368.4983060193,-0.470595121960597,0.102653148304562,1.09143350742759e-07,3.1168296176856e-05
"Tm6sf1",3606.11108930576,-0.678545340820763,0.159992204603671,1.26116390435621e-07,3.44679027999863e-05
"Il2rb",23580.1102674011,-0.507315417048112,0.112620016507753,1.36426594709987e-07,3.64383032052674e-05
"Adam19",6439.52498836883,-0.481315701386774,0.106841622943898,1.47209592980417e-07,3.8444603037908e-05
"Fhl2",464.792653703822,-1.16923842516497,0.28262293490542,1.80020694709509e-07,4.59913740049163e-05
"Egln3",5872.72303571878,-0.579301262279929,0.134707997334363,1.97008778139659e-07,4.82343158478598e-05
"Bak1",3349.38003816292,-0.671332659327052,0.161972003491468,1.93272868029792e-07,4.82343158478598e-05
"Rassf3",3620.66357265715,0.533631484204967,0.124075872755327,2.61637697904084e-07,6.27503311381386e-05
"Arhgef18",6601.21777916598,0.563841682319778,0.133482655409378,2.90600993349896e-07,6.6963585761725e-05
"Lsamp",6025.72413362095,0.488727236377035,0.11299314230065,2.86147565502517e-07,6.6963585761725e-05
"Crmp1",395.554718253925,1.1646161163228,0.293794870554264,3.19245829951737e-07,7.12454822545433e-05
"Emp3",10347.894257053,0.549358051774696,0.130155840071559,3.21307910099625e-07,7.12454822545433e-05
"Ccn3",799.439063836381,-0.828823907581338,0.21497157069102,3.39107580419957e-07,7.3799857131395e-05
"Ggct",3048.81865490422,-0.559625101844131,0.134506928221767,3.75572546790482e-07,8.02496103614863e-05
"Ccdc28b",576.795109675677,-0.971523687092234,0.256379553504993,4.34927510417632e-07,8.8451132248676e-05
"Lockd",12243.0768201275,0.478906945773415,0.113670610458983,4.37562864365434e-07,8.8451132248676e-05
"Sgk1",1032.3239157241,-0.806297326384899,0.212732129055667,4.4406201520353e-07,8.8451132248676e-05
"Itgb3",4238.166588559,-0.59848943941239,0.147805885542877,4.37286066539581e-07,8.8451132248676e-05
"F2r",6191.93870681458,-0.565979427309893,0.138324634022062,4.61347647069006e-07,9.0362625805916e-05
"Fcmr",1073.28164238798,-0.856422761710996,0.228894793432354,4.98211605111753e-07,9.59833243159561e-05
"Cxcr6",346.002806604788,-1.22965849888588,0.321811364843384,5.33034744536228e-07,0.000101035876093383
"Dapl1",2801.23183195355,0.758745735589441,0.203173998904946,6.02143969213741e-07,0.000112323744860316
"Lrrc32",2320.4981258972,-0.591675616974054,0.150146769739735,6.63629694153112e-07,0.000119984248702883
"Phf10",4130.29538318329,-0.537797381365296,0.133325655025012,6.58754617926185e-07,0.000119984248702883
"Lilrb4b",720.053816150192,-0.874680816339841,0.24388258164601,8.3236948348297e-07,0.000148212214695331
"Emp1",782.087646612552,0.971925962990816,0.273817382275543,9.44813652592791e-07,0.000165723135004037
"Tmem254",1280.2048741817,-0.796213843565371,0.223244979339206,9.69493296807204e-07,0.000167551253295269
"Stx1a",816.937120489231,0.820679562785476,0.233735376054618,1.11302385810746e-06,0.000189568933050418
"S100a4",341.264685591629,-1.09302701787606,0.321712204358079,1.55092668184564e-06,0.000260378433786427
"Gpr171",4979.03993349392,-0.489742904925254,0.129237862985836,1.73763026712027e-06,0.000287614519707006
"Morrbid",4837.09650482918,0.453291216999405,0.120000452762694,1.90485193885732e-06,0.0003109141664646
"Mx1",616.729528110891,-0.871884140356139,0.265467461261002,2.08617936345236e-06,0.00033584629971633
"Flna",7968.32796081573,0.423690538089253,0.113514709457115,2.14117231112474e-06,0.000340041310815378
"Cd82",10007.207696123,-0.514814932910157,0.140394737937708,2.31191848475509e-06,0.000362262213771224
"Rab27b",236.295497826328,-1.19479799418237,0.371489517741753,2.43250619031956e-06,0.000376142273008361
"Gzmc",482.625756839788,-0.996882533559941,0.310842788046633,2.48695759985665e-06,0.00037956786640929
"1700097N02Rik",970.014105115319,0.714812876921982,0.215165746375949,2.52358276498029e-06,0.000380219803257031
"Csgalnact1",2520.8565960367,-0.618138040077461,0.180591807807872,2.83237118866842e-06,0.000417039433434489
"Igfbp4",27870.496408876,0.430781321721785,0.118152060480321,2.83893419628652e-06,0.000417039433434489
"Vim",106408.962258455,0.432076907423684,0.119393732822504,3.0885003964334e-06,0.00044809946492451
"Slc9a9",18389.7320783541,0.399776371206692,0.112823862992536,3.67661703038972e-06,0.000526921991965121
"Serf1",591.141349326521,-0.941148563564568,0.310061365196549,3.88329123671326e-06,0.000549836609805473
"Ybx3",18148.6750734932,-0.44981058484172,0.127779048411059,4.14124669611742e-06,0.000579380133009189
"Eif4e2",10964.9051369769,-0.470502938734391,0.134291024414885,4.21651081423985e-06,0.000582969824575844
"9630013D21Rik",662.322253374973,0.736498222180866,0.244577638740703,5.45299662767377e-06,0.000745158329865374
"Lilrb4a",1211.63443238873,-0.62592804257497,0.199007506897571,5.72360844447479e-06,0.000773147660223767
"Pacsin1",543.977163969245,0.779808505520884,0.27029807052802,6.75374439789242e-06,0.000901931865500361
"Ccr7",4622.9535253913,0.474881902641829,0.145062253952971,7.79945122951091e-06,0.00102987809942935
"Cpe",985.720712173627,-0.593361143143277,0.194199281106337,8.24773101165675e-06,0.001076970387211
"Tap1",9950.29242638769,-0.3851572863884,0.11805631422585,8.40848334648515e-06,0.00108589556360322
"Rap1gap2",332.052768279658,1.08992728663655,0.414498447114473,8.61666937696791e-06,0.0011006858534579
"Ehd3",1805.62449848772,-0.598061362927149,0.198729892955693,9.01930821529195e-06,0.00113973021662485
"Fosl2",710.209243014859,-0.730260375917038,0.264993454257374,1.02559602982698e-05,0.00128221324920496
"Abcg3",450.013839144518,0.797460088445075,0.298930570235977,1.08405674941499e-05,0.00134103525464473
"Kcnn4",4135.78970179004,0.444344930345407,0.140376203819733,1.10758661798359e-05,0.00135587061818158
"Kdm5b",2727.56498705751,-0.464492535587047,0.149655167937303,1.2391450757166e-05,0.00150128174534242
"Slc35b4",3343.68193632757,-0.44772496352157,0.145169912715828,1.35652372233873e-05,0.00162672110050253
"Tmem163",1776.57458749663,-0.483497855989113,0.160695877471445,1.47191002905929e-05,0.00174726127893987
"Gtf2e2",4247.11776970123,-0.476330839593031,0.158378329008849,1.51306802398449e-05,0.00177815754178657
"Gadd45g",7291.07095828225,-0.417869819282066,0.137048137081559,1.55612822741914e-05,0.0018106553394683
"Adgre5",2036.34158194878,0.495842455655643,0.167769435309314,1.59426727216493e-05,0.00183684597867474
"G430095P16Rik",880.914686472709,0.592326110973976,0.21558859147054,1.67884899888548e-05,0.00191551780921381
"Atxn7l3b",7059.53653527322,-0.440360063057163,0.146823434378747,1.70664014458404e-05,0.00192850336337996
"Blmh",7216.52702599387,-0.422570688926907,0.14068383985739,1.74170668381643e-05,0.00194938447125816
"Rtkn2",1144.11357657241,0.534964646678813,0.192818478881391,2.03224847680372e-05,0.00225311170749031
"Gm36551",542.808972967356,-0.685341249472366,0.277947043482557,2.18837925617363e-05,0.00240353579612641
"Gpld1",277.911065384335,-0.972129180680345,0.446287739289821,2.27259728479962e-05,0.00247292252694122
"Slc12a6",4059.97335812022,0.413995682198744,0.144081949891659,2.45828998624781e-05,0.00265044256131965
"Gem",154.201197150367,-1.12202402825859,0.572582386508865,2.49149186268087e-05,0.00266181930638414
"Slc35b1",5105.14949890679,-0.446243136815632,0.157737575276108,2.54022835598963e-05,0.00268943816572884
"Tnfrsf4",15360.9220663197,-0.426047820580437,0.150032522396087,2.60978445702081e-05,0.00273840954811683
"Arhgef39",924.965616929338,0.534028934542803,0.204040820394996,2.85286662671703e-05,0.00296698129178571
"Ramp1",1602.35505042122,0.469818558737273,0.175125674881104,3.26310798822011e-05,0.00335994077306802
"Gm43305",219.852215779491,-0.890705224767682,0.436219787681982,3.28789303014655e-05,0.00335994077306802
"Pilrb1",372.503435314485,-0.798652334729505,0.378476346617091,3.4087722057922e-05,0.003453438876075
"A930005H10Rik",2847.32216091711,0.419470111253768,0.154460171991998,3.57145426478261e-05,0.00358732739484831
"AA467197",3416.24592484955,-0.444146206660751,0.166519436233809,3.70970853548331e-05,0.00369461819567795
"Gimap7",19518.4967248094,-0.420632773241914,0.15623863972279,3.7635320299187e-05,0.00371672507694156
"Morf4l1",35086.9573941653,-0.333561181020848,0.122373637857329,3.84408932458014e-05,0.00376464481187215
"P2ry14",1143.61431403648,-1.11528886099637,0.73249496494023,3.89988137993695e-05,0.00378516189620739
"Cdk6",60542.9835081978,-0.306452312514133,0.112736035789034,3.96166536107479e-05,0.00378516189620739
"Morf4l2",9924.31510408669,-0.344903072936482,0.127054756385493,3.95853240423965e-05,0.00378516189620739
"H1f0",6177.15388736956,-0.415058408039828,0.155570209119394,4.04384717408678e-05,0.00383252354756999
"Tnik",10394.4632359803,0.322363399708729,0.119455792393384,4.17209713020973e-05,0.00392243883793798
"Dgka",8131.40434258463,0.379293067624041,0.141565671142084,4.228455102889e-05,0.00394387336263107
"Dot1l",4869.62528982459,-0.404770858126587,0.152378825196961,4.26467266541477e-05,0.00394633331999641
"Cebpb",9095.39524917232,-0.340615199659876,0.127278632964122,4.41647243209794e-05,0.00405487375171992
"A630023P12Rik",1262.36441854273,0.471836835865398,0.186549112480471,4.49460880898358e-05,0.0040827238909393
"Gm17322",289.02373798408,-0.757891930749556,0.377951151292361,4.51628748997711e-05,0.0040827238909393
"Zbed3",1398.98432987977,0.445562534249465,0.173411778876214,4.58294342475999e-05,0.00411135504792209
"Aqp9",1872.74153537583,-0.413522717470201,0.158666665884448,4.69127807795351e-05,0.00417665908879618
"Rabgap1l",37775.6650037207,0.322027016331897,0.121525863155791,4.81120916547853e-05,0.00424219423158924
"Klf3",11714.4664284098,-0.32511291646216,0.122810992648323,4.83708327972225e-05,0.00424219423158924
"Rasa3",4727.94936281681,0.371868790330869,0.141894000598447,4.96249727706774e-05,0.00431994577778519
"Ldhb",1236.98966188941,0.452494198376633,0.182633383206872,5.42735642845912e-05,0.00468987446670967
"Calcrl",942.078745638614,0.489438580986781,0.204409731123819,5.47538336153011e-05,0.0046968398003432
"Gprin3",9836.94270854038,-0.338041904913108,0.130187734341754,5.5159272910585e-05,0.00469733170467533
"Gzmb",31904.6750409884,-0.989178620800994,0.635898295524164,5.56108582673018e-05,0.0047017180313477
"Hspa5",64206.9161479954,-0.345143112619012,0.136141462316334,6.44761967368484e-05,0.00541231617179602
"Pigc",754.528462460904,-0.536773745333784,0.247843603899239,6.83742232350113e-05,0.00567127070703546
"Ly6c1",1021.91571534418,-0.899311205887798,0.872468956768829,6.85262457793597e-05,0.00567127070703546
"Apol7c",211.286549710987,-0.881245461670684,0.567293888395077,7.32785391141266e-05,0.0060221635781064
"Ccr2",487.028997956687,-0.880894218788714,0.865135584618382,7.404509161131e-05,0.00604290219872302
"Pdlim1",3234.73162002074,0.382747918364505,0.156787506643929,7.51196168407897e-05,0.00608831542836525
"Ostc",23215.6407044741,-0.369840044437171,0.151085920389364,7.65183745511603e-05,0.00615920505291258
"Tet2",6791.23694385568,-0.337709639896538,0.1378893119003,8.18674207141979e-05,0.0065156504479662
"Add3",11551.5539303623,0.355103872900971,0.145907977715194,8.20555025781992e-05,0.0065156504479662
"Lage3",6527.70778339875,-0.391620098481211,0.164893236444789,8.50743651228848e-05,0.0067100264357325
"Ccr5",621.481897674519,-0.717023791256136,0.884072489251689,8.63592652995334e-05,0.00676596057200078
"Gimap1os",3759.29937450502,-0.388742210291217,0.165824082938184,9.20297074415605e-05,0.00716247100565046
"Bhlhe40",2985.55977588357,-0.410601949675787,0.178695772791585,9.3828849659951e-05,0.00725445158686674
"Polr2d",6531.15534564458,-0.362588620888752,0.153196613059226,9.47868335603255e-05,0.00728062005229376
"Asns",1756.02226408769,-0.388383538723909,0.167391384524328,9.72301631736231e-05,0.00741979790660012
"Clec2i",1794.68324364268,0.449434555166991,0.206547576587451,0.00010087746727832,0.00764846448680524
"Lonrf3",379.365840914816,0.674581975594147,0.404653145683079,0.000101604641676118,0.00765421633960091
"Ift80",1991.95458871097,0.433455558595934,0.197699915222332,0.00010527433574918,0.00788015282626984
"Unc5b",139.204969602128,-0.814253425814631,0.597994595638425,0.000110402536238017,0.00821171269537452
"Calhm6",3918.95695235852,-0.360351451040253,0.156771306953158,0.000112161791095892,0.00829009666011904
"Neil3",5512.76510947635,0.311712573756514,0.133132037119663,0.000115540666631038,0.00848646196404975
