"sample_id","condition","replicate","n_cells"
"EV-rep1","EV","rep1",1381
"EV-rep2","EV","rep2",494
"miR29a-rep1","miR29a","rep1",1023
"miR29a-rep2","miR29a","rep2",298
"Scr-rep1","Scr","rep1",1121
"Scr-rep2","Scr","rep2",292
